Main Reason to Travel,Most Important Factor for Trip Planning,Favorite Activity,Most Appealing Destination,Ideal Group Size,Gender,Student,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Recommendation
To spend quality time with family/friends,Budget,Hike,An old city with interesting architecture,2,Female,Yes,5,4,6,6,5,Italy/Malta
To spend quality time with family/friends,Budget,Explore,An old city with interesting architecture,2,Female,Yes,5,4,6,6,5,Italy/Malta
To spend quality time with family/friends,Budget,City,An old city with interesting architecture,2,Female,Yes,5,4,6,6,5,Italy/Malta
To spend quality time with family/friends,Budget,Food,An old city with interesting architecture,2,Female,Yes,5,4,6,6,5,Italy/Malta
To spend quality time with family/friends,Budget,Gelato,An old city with interesting architecture,2,Female,Yes,5,4,6,6,5,Italy/Malta
To spend quality time with family/friends,Budget,Swim,An old city with interesting architecture,2,Female,Yes,5,4,6,6,5,Italy/Malta
To spend quality time with family/friends,Budget,Ocean,An old city with interesting architecture,2,Female,Yes,5,4,6,6,5,Italy/Malta
To spend quality time with family/friends,Budget,Shop,An old city with interesting architecture,2,Female,Yes,5,4,6,6,5,Italy/Malta
To spend quality time with family/friends,Budget,Sunbath,An old city with interesting architecture,2,Female,Yes,5,4,6,6,5,Italy/Malta
To go on an adventure,Budget,Hike,An old city with interesting architecture,2,Female,Yes,5,4,6,6,5,Italy/Malta
To go on an adventure,Budget,Explore,An old city with interesting architecture,2,Female,Yes,5,4,6,6,5,Italy/Malta
To go on an adventure,Budget,City,An old city with interesting architecture,2,Female,Yes,5,4,6,6,5,Italy/Malta
To go on an adventure,Budget,Food,An old city with interesting architecture,2,Female,Yes,5,4,6,6,5,Italy/Malta
To go on an adventure,Budget,Gelato,An old city with interesting architecture,2,Female,Yes,5,4,6,6,5,Italy/Malta
To go on an adventure,Budget,Swim,An old city with interesting architecture,2,Female,Yes,5,4,6,6,5,Italy/Malta
To go on an adventure,Budget,Ocean,An old city with interesting architecture,2,Female,Yes,5,4,6,6,5,Italy/Malta
To go on an adventure,Budget,Shop,An old city with interesting architecture,2,Female,Yes,5,4,6,6,5,Italy/Malta
To go on an adventure,Budget,Sunbath,An old city with interesting architecture,2,Female,Yes,5,4,6,6,5,Italy/Malta
To look at and appreciate beautiful places,Budget,Hike,An old city with interesting architecture,2,Female,Yes,5,4,6,6,5,Italy/Malta
To look at and appreciate beautiful places,Budget,Explore,An old city with interesting architecture,2,Female,Yes,5,4,6,6,5,Italy/Malta
To look at and appreciate beautiful places,Budget,City,An old city with interesting architecture,2,Female,Yes,5,4,6,6,5,Italy/Malta
To look at and appreciate beautiful places,Budget,Food,An old city with interesting architecture,2,Female,Yes,5,4,6,6,5,Italy/Malta
To look at and appreciate beautiful places,Budget,Gelato,An old city with interesting architecture,2,Female,Yes,5,4,6,6,5,Italy/Malta
To look at and appreciate beautiful places,Budget,Swim,An old city with interesting architecture,2,Female,Yes,5,4,6,6,5,Italy/Malta
To look at and appreciate beautiful places,Budget,Ocean,An old city with interesting architecture,2,Female,Yes,5,4,6,6,5,Italy/Malta
To look at and appreciate beautiful places,Budget,Shop,An old city with interesting architecture,2,Female,Yes,5,4,6,6,5,Italy/Malta
To look at and appreciate beautiful places,Budget,Sunbath,An old city with interesting architecture,2,Female,Yes,5,4,6,6,5,Italy/Malta
To go on an adventure,Budget,Hike,An old city with interesting architecture,2,Female,Yes,5,5,5,4,4,Italy/Malta
To go on an adventure,Budget,Swim,An old city with interesting architecture,2,Female,Yes,5,5,5,4,4,Italy/Malta
To go on an adventure,Budget,Tan,An old city with interesting architecture,2,Female,Yes,5,5,5,4,4,Italy/Malta
To go on an adventure,Budget,Photography,An old city with interesting architecture,2,Female,Yes,5,5,5,4,4,Italy/Malta
To go on an adventure,Budget,City,An old city with interesting architecture,2,Female,Yes,5,5,5,4,4,Italy/Malta
To meet new people,Variety of activities at destination,Swim,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To meet new people,Variety of activities at destination,Boat Trip,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To meet new people,Variety of activities at destination,Wine Tasting,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To meet new people,Variety of activities at destination,Cycle,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To meet new people,Variety of activities at destination,Road Trip,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To meet new people,Variety of activities at destination,History,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To meet new people,Variety of activities at destination,Landmarks,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To meet new people,Variety of activities at destination,Churches,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To meet new people,Variety of activities at destination,Food,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To see the wonders of nature,Variety of activities at destination,Swim,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To see the wonders of nature,Variety of activities at destination,Boat Trip,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To see the wonders of nature,Variety of activities at destination,Wine Tasting,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To see the wonders of nature,Variety of activities at destination,Cycle,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To see the wonders of nature,Variety of activities at destination,Road Trip,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To see the wonders of nature,Variety of activities at destination,History,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To see the wonders of nature,Variety of activities at destination,Landmarks,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To see the wonders of nature,Variety of activities at destination,Churches,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To see the wonders of nature,Variety of activities at destination,Food,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To learn more about a language or a culture,Variety of activities at destination,Swim,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To learn more about a language or a culture,Variety of activities at destination,Boat Trip,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To learn more about a language or a culture,Variety of activities at destination,Wine Tasting,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To learn more about a language or a culture,Variety of activities at destination,Cycle,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To learn more about a language or a culture,Variety of activities at destination,Road Trip,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To learn more about a language or a culture,Variety of activities at destination,History,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To learn more about a language or a culture,Variety of activities at destination,Landmarks,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To learn more about a language or a culture,Variety of activities at destination,Churches,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To learn more about a language or a culture,Variety of activities at destination,Food,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To spend quality time with family/friends,Variety of activities at destination,Swim,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To spend quality time with family/friends,Variety of activities at destination,Boat Trip,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To spend quality time with family/friends,Variety of activities at destination,Wine Tasting,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To spend quality time with family/friends,Variety of activities at destination,Cycle,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To spend quality time with family/friends,Variety of activities at destination,Road Trip,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To spend quality time with family/friends,Variety of activities at destination,History,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To spend quality time with family/friends,Variety of activities at destination,Landmarks,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To spend quality time with family/friends,Variety of activities at destination,Churches,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To spend quality time with family/friends,Variety of activities at destination,Food,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To look at and appreciate beautiful places,Variety of activities at destination,Swim,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To look at and appreciate beautiful places,Variety of activities at destination,Boat Trip,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To look at and appreciate beautiful places,Variety of activities at destination,Wine Tasting,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To look at and appreciate beautiful places,Variety of activities at destination,Cycle,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To look at and appreciate beautiful places,Variety of activities at destination,Road Trip,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To look at and appreciate beautiful places,Variety of activities at destination,History,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To look at and appreciate beautiful places,Variety of activities at destination,Landmarks,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To look at and appreciate beautiful places,Variety of activities at destination,Churches,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To look at and appreciate beautiful places,Variety of activities at destination,Food,An old city with interesting architecture,4,Female,Yes,6,5,4,6,3,Italy/Malta
To learn more about a language or a culture,Budget,City,An old city with interesting architecture,4,Male,Yes,7,4,5,6,4,Japan/South Korea
To learn more about a language or a culture,Budget,Rural Heritage,An old city with interesting architecture,4,Male,Yes,7,4,5,6,4,Japan/South Korea
To learn more about a language or a culture,Budget,Transit,An old city with interesting architecture,4,Male,Yes,7,4,5,6,4,Japan/South Korea
To learn more about a language or a culture,Budget,Temple,An old city with interesting architecture,4,Male,Yes,7,4,5,6,4,Japan/South Korea
To see the wonders of nature,Budget,Temple,An all-inclusive resort,2,Female,Yes,5,7,2,6,5,Japan/South Korea
To see the wonders of nature,Budget,Food,An all-inclusive resort,2,Female,Yes,5,7,2,6,5,Japan/South Korea
To see the wonders of nature,Budget,Shop,An all-inclusive resort,2,Female,Yes,5,7,2,6,5,Japan/South Korea
To relax and escape work and responsibilities,Budget,Temple,An all-inclusive resort,2,Female,Yes,5,7,2,6,5,Japan/South Korea
To relax and escape work and responsibilities,Budget,Food,An all-inclusive resort,2,Female,Yes,5,7,2,6,5,Japan/South Korea
To relax and escape work and responsibilities,Budget,Shop,An all-inclusive resort,2,Female,Yes,5,7,2,6,5,Japan/South Korea
To spend quality time with family/friends,Budget,Temple,An all-inclusive resort,2,Female,Yes,5,7,2,6,5,Japan/South Korea
To spend quality time with family/friends,Budget,Food,An all-inclusive resort,2,Female,Yes,5,7,2,6,5,Japan/South Korea
To spend quality time with family/friends,Budget,Shop,An all-inclusive resort,2,Female,Yes,5,7,2,6,5,Japan/South Korea
To go on an adventure,Budget,Temple,An all-inclusive resort,2,Female,Yes,5,7,2,6,5,Japan/South Korea
To go on an adventure,Budget,Food,An all-inclusive resort,2,Female,Yes,5,7,2,6,5,Japan/South Korea
To go on an adventure,Budget,Shop,An all-inclusive resort,2,Female,Yes,5,7,2,6,5,Japan/South Korea
To look at and appreciate beautiful places,Budget,Temple,An all-inclusive resort,2,Female,Yes,5,7,2,6,5,Japan/South Korea
To look at and appreciate beautiful places,Budget,Food,An all-inclusive resort,2,Female,Yes,5,7,2,6,5,Japan/South Korea
To look at and appreciate beautiful places,Budget,Shop,An all-inclusive resort,2,Female,Yes,5,7,2,6,5,Japan/South Korea
To meet new people,Travel group size,Food,An overnight backpacking trip on a volcano,2,Male,Yes,5,7,3,6,4,Japan/South Korea
To meet new people,Travel group size,Temple,An overnight backpacking trip on a volcano,2,Male,Yes,5,7,3,6,4,Japan/South Korea
To meet new people,Travel group size,Photography,An overnight backpacking trip on a volcano,2,Male,Yes,5,7,3,6,4,Japan/South Korea
To meet new people,Travel group size,Nature,An overnight backpacking trip on a volcano,2,Male,Yes,5,7,3,6,4,Japan/South Korea
To see the wonders of nature,Travel group size,Food,An overnight backpacking trip on a volcano,2,Male,Yes,5,7,3,6,4,Japan/South Korea
To see the wonders of nature,Travel group size,Temple,An overnight backpacking trip on a volcano,2,Male,Yes,5,7,3,6,4,Japan/South Korea
To see the wonders of nature,Travel group size,Photography,An overnight backpacking trip on a volcano,2,Male,Yes,5,7,3,6,4,Japan/South Korea
To see the wonders of nature,Travel group size,Nature,An overnight backpacking trip on a volcano,2,Male,Yes,5,7,3,6,4,Japan/South Korea
To learn more about a language or a culture,Travel group size,Food,An overnight backpacking trip on a volcano,2,Male,Yes,5,7,3,6,4,Japan/South Korea
To learn more about a language or a culture,Travel group size,Temple,An overnight backpacking trip on a volcano,2,Male,Yes,5,7,3,6,4,Japan/South Korea
To learn more about a language or a culture,Travel group size,Photography,An overnight backpacking trip on a volcano,2,Male,Yes,5,7,3,6,4,Japan/South Korea
To learn more about a language or a culture,Travel group size,Nature,An overnight backpacking trip on a volcano,2,Male,Yes,5,7,3,6,4,Japan/South Korea
To relax and escape work and responsibilities,Travel group size,Food,An overnight backpacking trip on a volcano,2,Male,Yes,5,7,3,6,4,Japan/South Korea
To relax and escape work and responsibilities,Travel group size,Temple,An overnight backpacking trip on a volcano,2,Male,Yes,5,7,3,6,4,Japan/South Korea
To relax and escape work and responsibilities,Travel group size,Photography,An overnight backpacking trip on a volcano,2,Male,Yes,5,7,3,6,4,Japan/South Korea
To relax and escape work and responsibilities,Travel group size,Nature,An overnight backpacking trip on a volcano,2,Male,Yes,5,7,3,6,4,Japan/South Korea
To spend quality time with family/friends,Travel group size,Food,An overnight backpacking trip on a volcano,2,Male,Yes,5,7,3,6,4,Japan/South Korea
To spend quality time with family/friends,Travel group size,Temple,An overnight backpacking trip on a volcano,2,Male,Yes,5,7,3,6,4,Japan/South Korea
To spend quality time with family/friends,Travel group size,Photography,An overnight backpacking trip on a volcano,2,Male,Yes,5,7,3,6,4,Japan/South Korea
To spend quality time with family/friends,Travel group size,Nature,An overnight backpacking trip on a volcano,2,Male,Yes,5,7,3,6,4,Japan/South Korea
To explore architecture and history,Travel group size,Food,An overnight backpacking trip on a volcano,2,Male,Yes,5,7,3,6,4,Japan/South Korea
To explore architecture and history,Travel group size,Temple,An overnight backpacking trip on a volcano,2,Male,Yes,5,7,3,6,4,Japan/South Korea
To explore architecture and history,Travel group size,Photography,An overnight backpacking trip on a volcano,2,Male,Yes,5,7,3,6,4,Japan/South Korea
To explore architecture and history,Travel group size,Nature,An overnight backpacking trip on a volcano,2,Male,Yes,5,7,3,6,4,Japan/South Korea
To go on an adventure,Travel group size,Food,An overnight backpacking trip on a volcano,2,Male,Yes,5,7,3,6,4,Japan/South Korea
To go on an adventure,Travel group size,Temple,An overnight backpacking trip on a volcano,2,Male,Yes,5,7,3,6,4,Japan/South Korea
To go on an adventure,Travel group size,Photography,An overnight backpacking trip on a volcano,2,Male,Yes,5,7,3,6,4,Japan/South Korea
To go on an adventure,Travel group size,Nature,An overnight backpacking trip on a volcano,2,Male,Yes,5,7,3,6,4,Japan/South Korea
To look at and appreciate beautiful places,Travel group size,Food,An overnight backpacking trip on a volcano,2,Male,Yes,5,7,3,6,4,Japan/South Korea
To look at and appreciate beautiful places,Travel group size,Temple,An overnight backpacking trip on a volcano,2,Male,Yes,5,7,3,6,4,Japan/South Korea
To look at and appreciate beautiful places,Travel group size,Photography,An overnight backpacking trip on a volcano,2,Male,Yes,5,7,3,6,4,Japan/South Korea
To look at and appreciate beautiful places,Travel group size,Nature,An overnight backpacking trip on a volcano,2,Male,Yes,5,7,3,6,4,Japan/South Korea
To go on an adventure,Aesthetic of destination,Safari,An old city with interesting architecture,4,Male,Yes,5,6,6,3,5,Egypt/Jordan/Lebanon
To go on an adventure,Aesthetic of destination,Desert,An old city with interesting architecture,4,Male,Yes,5,6,6,3,5,Egypt/Jordan/Lebanon
To go on an adventure,Aesthetic of destination,Bedouin Camp,An old city with interesting architecture,4,Male,Yes,5,6,6,3,5,Egypt/Jordan/Lebanon
To meet new people,Proximity to nature,Volunteer,An old city with interesting architecture,4,Male,No,5,3,5,6,5,South Africa/Kenya/Namibia
To meet new people,Proximity to nature,Market,An old city with interesting architecture,4,Male,No,5,3,5,6,5,South Africa/Kenya/Namibia
To meet new people,Proximity to nature,Safaris,An old city with interesting architecture,4,Male,No,5,3,5,6,5,South Africa/Kenya/Namibia
To meet new people,Proximity to nature,Culture,An old city with interesting architecture,4,Male,No,5,3,5,6,5,South Africa/Kenya/Namibia
To see the wonders of nature,Proximity to nature,Volunteer,An old city with interesting architecture,4,Male,No,5,3,5,6,5,South Africa/Kenya/Namibia
To see the wonders of nature,Proximity to nature,Market,An old city with interesting architecture,4,Male,No,5,3,5,6,5,South Africa/Kenya/Namibia
To see the wonders of nature,Proximity to nature,Safaris,An old city with interesting architecture,4,Male,No,5,3,5,6,5,South Africa/Kenya/Namibia
To see the wonders of nature,Proximity to nature,Culture,An old city with interesting architecture,4,Male,No,5,3,5,6,5,South Africa/Kenya/Namibia
To learn more about a language or a culture,Proximity to nature,Volunteer,An old city with interesting architecture,4,Male,No,5,3,5,6,5,South Africa/Kenya/Namibia
To learn more about a language or a culture,Proximity to nature,Market,An old city with interesting architecture,4,Male,No,5,3,5,6,5,South Africa/Kenya/Namibia
To learn more about a language or a culture,Proximity to nature,Safaris,An old city with interesting architecture,4,Male,No,5,3,5,6,5,South Africa/Kenya/Namibia
To learn more about a language or a culture,Proximity to nature,Culture,An old city with interesting architecture,4,Male,No,5,3,5,6,5,South Africa/Kenya/Namibia
To relax and escape work and responsibilities,Proximity to nature,Volunteer,An old city with interesting architecture,4,Male,No,5,3,5,6,5,South Africa/Kenya/Namibia
To relax and escape work and responsibilities,Proximity to nature,Market,An old city with interesting architecture,4,Male,No,5,3,5,6,5,South Africa/Kenya/Namibia
To relax and escape work and responsibilities,Proximity to nature,Safaris,An old city with interesting architecture,4,Male,No,5,3,5,6,5,South Africa/Kenya/Namibia
To relax and escape work and responsibilities,Proximity to nature,Culture,An old city with interesting architecture,4,Male,No,5,3,5,6,5,South Africa/Kenya/Namibia
To spend quality time with family/friends,Proximity to nature,Volunteer,An old city with interesting architecture,4,Male,No,5,3,5,6,5,South Africa/Kenya/Namibia
To spend quality time with family/friends,Proximity to nature,Market,An old city with interesting architecture,4,Male,No,5,3,5,6,5,South Africa/Kenya/Namibia
To spend quality time with family/friends,Proximity to nature,Safaris,An old city with interesting architecture,4,Male,No,5,3,5,6,5,South Africa/Kenya/Namibia
To spend quality time with family/friends,Proximity to nature,Culture,An old city with interesting architecture,4,Male,No,5,3,5,6,5,South Africa/Kenya/Namibia
To explore architecture and history,Proximity to nature,Volunteer,An old city with interesting architecture,4,Male,No,5,3,5,6,5,South Africa/Kenya/Namibia
To explore architecture and history,Proximity to nature,Market,An old city with interesting architecture,4,Male,No,5,3,5,6,5,South Africa/Kenya/Namibia
To explore architecture and history,Proximity to nature,Safaris,An old city with interesting architecture,4,Male,No,5,3,5,6,5,South Africa/Kenya/Namibia
To explore architecture and history,Proximity to nature,Culture,An old city with interesting architecture,4,Male,No,5,3,5,6,5,South Africa/Kenya/Namibia
To go on an adventure,Proximity to nature,Volunteer,An old city with interesting architecture,4,Male,No,5,3,5,6,5,South Africa/Kenya/Namibia
To go on an adventure,Proximity to nature,Market,An old city with interesting architecture,4,Male,No,5,3,5,6,5,South Africa/Kenya/Namibia
To go on an adventure,Proximity to nature,Safaris,An old city with interesting architecture,4,Male,No,5,3,5,6,5,South Africa/Kenya/Namibia
To go on an adventure,Proximity to nature,Culture,An old city with interesting architecture,4,Male,No,5,3,5,6,5,South Africa/Kenya/Namibia
To look at and appreciate beautiful places,Proximity to nature,Volunteer,An old city with interesting architecture,4,Male,No,5,3,5,6,5,South Africa/Kenya/Namibia
To look at and appreciate beautiful places,Proximity to nature,Market,An old city with interesting architecture,4,Male,No,5,3,5,6,5,South Africa/Kenya/Namibia
To look at and appreciate beautiful places,Proximity to nature,Safaris,An old city with interesting architecture,4,Male,No,5,3,5,6,5,South Africa/Kenya/Namibia
To look at and appreciate beautiful places,Proximity to nature,Culture,An old city with interesting architecture,4,Male,No,5,3,5,6,5,South Africa/Kenya/Namibia
To share travel stories and view with friends and family back home,Proximity to nature,Volunteer,An old city with interesting architecture,4,Male,No,5,3,5,6,5,South Africa/Kenya/Namibia
To share travel stories and view with friends and family back home,Proximity to nature,Market,An old city with interesting architecture,4,Male,No,5,3,5,6,5,South Africa/Kenya/Namibia
To share travel stories and view with friends and family back home,Proximity to nature,Safaris,An old city with interesting architecture,4,Male,No,5,3,5,6,5,South Africa/Kenya/Namibia
To share travel stories and view with friends and family back home,Proximity to nature,Culture,An old city with interesting architecture,4,Male,No,5,3,5,6,5,South Africa/Kenya/Namibia
To see the wonders of nature,Budget,Swim,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To see the wonders of nature,Budget,Cook,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To see the wonders of nature,Budget,Walk,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To see the wonders of nature,Budget,Explore,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To see the wonders of nature,Budget,City,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To see the wonders of nature,Budget,Meet Locals,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To relax and escape work and responsibilities,Budget,Swim,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To relax and escape work and responsibilities,Budget,Cook,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To relax and escape work and responsibilities,Budget,Walk,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To relax and escape work and responsibilities,Budget,Explore,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To relax and escape work and responsibilities,Budget,City,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To relax and escape work and responsibilities,Budget,Meet Locals,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To spend quality time with family/friends,Budget,Swim,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To spend quality time with family/friends,Budget,Cook,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To spend quality time with family/friends,Budget,Walk,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To spend quality time with family/friends,Budget,Explore,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To spend quality time with family/friends,Budget,City,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To spend quality time with family/friends,Budget,Meet Locals,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To explore architecture and history,Budget,Swim,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To explore architecture and history,Budget,Cook,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To explore architecture and history,Budget,Walk,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To explore architecture and history,Budget,Explore,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To explore architecture and history,Budget,City,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To explore architecture and history,Budget,Meet Locals,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To go on an adventure,Budget,Swim,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To go on an adventure,Budget,Cook,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To go on an adventure,Budget,Walk,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To go on an adventure,Budget,Explore,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To go on an adventure,Budget,City,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To go on an adventure,Budget,Meet Locals,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To look at and appreciate beautiful places,Budget,Swim,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To look at and appreciate beautiful places,Budget,Cook,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To look at and appreciate beautiful places,Budget,Walk,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To look at and appreciate beautiful places,Budget,Explore,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To look at and appreciate beautiful places,Budget,City,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To look at and appreciate beautiful places,Budget,Meet Locals,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To share travel stories and view with friends and family back home,Budget,Swim,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To share travel stories and view with friends and family back home,Budget,Cook,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To share travel stories and view with friends and family back home,Budget,Walk,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To share travel stories and view with friends and family back home,Budget,Explore,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To share travel stories and view with friends and family back home,Budget,City,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To share travel stories and view with friends and family back home,Budget,Meet Locals,An overnight backpacking trip on a volcano,5,Female,Yes,6,5,3,5,6,Egypt/Jordan/Lebanon
To learn more about a language or a culture,Budget,Market,An overnight backpacking trip on a volcano,4,Male,Yes,5,5,3,5,6,Indonesia/Malaysia/Philippines
To learn more about a language or a culture,Budget,Street Food,An overnight backpacking trip on a volcano,4,Male,Yes,5,5,3,5,6,Indonesia/Malaysia/Philippines
To learn more about a language or a culture,Budget,Walk,An overnight backpacking trip on a volcano,4,Male,Yes,5,5,3,5,6,Indonesia/Malaysia/Philippines
To learn more about a language or a culture,Budget,City,An overnight backpacking trip on a volcano,4,Male,Yes,5,5,3,5,6,Indonesia/Malaysia/Philippines
To learn more about a language or a culture,Budget,Road Trip,An overnight backpacking trip on a volcano,4,Male,Yes,5,5,3,5,6,Indonesia/Malaysia/Philippines
To learn more about a language or a culture,Budget,Festival,An overnight backpacking trip on a volcano,4,Male,Yes,5,5,3,5,6,Indonesia/Malaysia/Philippines
